category,Description,Test Steps,Expected Results
Account Management,"Verify that account data is synchronized across multiple platforms (web, mobile).","1. Log in to your online banking account via the web platform (e.g., using a web browser).
2. Verify that your account data, including account balances, recent transactions, and account details, are accurate and up-to-date.
3. Log in to your mobile banking application on your smartphone or tablet.
4. Verify that the account data matches the data displayed on the web platform. Check account balances, transactions, and account details.","Account data should be consistent and synchronized across all platforms and also account balances, transaction history, and account details should match without discrepancies."
Account Management,"Verify the ability to export account data in various formats (e.g., CSV, PDF).","1.Navigate to Account setting or profile section.
2.Select the ""Export Data"",""Download Statements"" in account setting section.
3.Choose the desired export format from the available options, which may include: CSV ,PDF ,Excel 
4.Specify the date range or data filters for the export. Users may be able to select a custom date range or predefined options (e.g., last month, last year).
5.Click the ""Export,"" ""Download,"" or ""Generate"" button to initiate the export process.","Exported data should be accessible and downloadable in the selected format, and the data should be accurate and well-structured."
Account Management,Confirm that accounts with different currencies are handled correctly.,"1.Click on Accounts
2.Navigate to the section of the application that displays your multi-currency account. 
3.Check the balances of your multi-currency account in different currencies.","The multi-currency account should support various currencies, and the application should accurately display balances in each currency."
Account Management, Verify that account histories are archived and retrievable.,"1.Navigate to the section of the application where account history is accessible. This is typically labeled as ""Transaction History"", ""Account Statements"".
2.Select custom date range filter an older time period .
3.Click on Generate
","Review the retrieved account history to ensure that all transactions, including deposits, withdrawals, transfers, and payments, are displayed accurately."
Account Management,Validate whether the account closure process and ensure all associated data is removed.,"1.Navigate to the account closure or account termination section of the application. This is typically found in the account settings or preferences.
2.Click on ""Yes I agree"" to ensure that the application prompts you to confirm that you understand the implications of closing the account.
3.Follow the steps to request the closure of your account. This may include entering a reason for closure and providing any additional information as required.
4.Validate whether the account closure process and ensure all associated data is removed.","1.The application should provide a clear and user-friendly process for requesting account closure.
2.Users should be required to confirm their understanding of the implications of closing the account.
3.The application should acknowledge the closure request and provide a reference number or confirmation.
4.After account closure, users should no longer have access to the associated data, and the data should be removed from the application."
Account Overview,View Account Balances,"1. Navigate to the ""Account Overview"" or ""Dashboard"" section. 
2. View the account balances for various types (e.g., savings, checking).","The user can see their account balances displayed accurately, providing an overview of their financial status."
Account Overview,Transaction History,"1. Access the ""Account Overview"" or ""Transactions"" section. 
2. View the transaction history for a selected account.","The user can see a list of recent transactions for the selected account, including details like date, payee, and amount."
Account Overview,Upcoming Payments,"1. Navigate to the ""Account Overview"" or ""Upcoming Payments"" section. 
2. View a list of upcoming scheduled payments.","The user can see a list of their upcoming scheduled payments, including payee names, amounts, and due dates."
Account Overview,Account Statements,"1. Access the ""Account Overview"" or ""Statements"" section. 
2. View and download account statements for a specified period.","The user can view and download account statements for the selected period, which include transaction details and balances."
Account Overview,Account Summary,"1. Navigate to the ""Account Overview"" or ""Summary"" section. 
2. View a summary of account details (e.g., account number, type, owner).","The user can see a summary of their account details, providing essential information about their accounts."
Account Overview,Balance Trends,"1. Access the ""Account Overview"" or ""Trends"" section. 
2. View graphical representations of account balance trends over time.","The user can see graphs and charts displaying their account balance trends, helping them track financial progress."
Account Login,Incorrect Username,"1. On the login page, enter an incorrect username.
2. Attempt to log in with the incorrect username.","The system should display an error message indicating that the username provided does not exist or is incorrect.
The login process should fail, and the user should remain on the login page with an error prompt regarding the username."
Account Login,Incorrect Password,"1. On the login page, enter the correct username.
2. Enter an incorrect password associated with the username.
3. Attempt to log in with the incorrect password.","
The login process should fail, and the user should remain on the login page with an error message regarding the password."
Account Login,Exceeding Maximum Login Attempts,"1. On the login page, attempt to log in with an incorrect username and/or password multiple times, exceeding the allowed attempts.","The system should lock the account or implement a cooldown period, preventing further login attempts for a specific duration, indicating that the account is temporarily locked due to excessive login attempts."
Account Login,Account Lockout due to Security Measures,"1. On the login page, attempt to log in from an unrecognized device or location.","The system should trigger security measures such as two-factor authentication or require additional verification, informing the user that access is restricted due to security concerns."
Account Login,Attempting Login with Inactive Account,"1. On the login page, enter credentials associated with an inactive or disabled account.","The system should display an error message indicating that the account is inactive or disabled, preventing the user from logging in."
Account Login,Session Timeout,1. Log in successfully to the banking application.,Remain inactive for a duration exceeding the session timeout limit.
Payments and Transfers,Validate money transfer functionality,"1.Navigate to the ""Transfer"" or ""Send Money"" section.
2.Enter the transfer amount, select the source account, and specify the destination account.
3.Initiate the fund transfer.
4.Verify the updated balances for both accounts.","The application should process the transfer, deducting the amount from the source account and updating the destination account and Confirm that the source and destination account balances reflect the transfer accurately."
Payments and Transfers,Verify that transactions are processed in real-time or within defined timeframes.,"1. Initiate a series of transactions (e.g., payments, fund transfers).
2. Monitor the processing time:
3. Verify the real-time processing:
4. Check the defined timeframes:
5. Confirm notifications or alerts:
6. Review account balances:
7. Verify transaction statuses:
8. Check for any exceptions or delays:","1.Transactions should be initiated within the application.
2.Keep track of the time when each transaction is initiated.
3.For transactions advertised as real-time, they should be processed instantly without significant delay.
4.For transactions with defined processing timeframes (e.g., 1-2 business days), ensure that they are processed within the specified timeframes.
5.The application should provide notifications or alerts for successful and completed transactions.
6.After processing, verify that the account balances are updated accurately.
7.Transactions should be marked with appropriate statuses (e.g., pending, completed, failed) reflecting their progress.
8.If any transaction experiences delays or exceptions, the application should provide clear information and support options."
Payments and Transfers,Verify that transaction fees are accurately deducted.,"1. Navigate to ""Fund Transfer"" Section:
2. Select a Transaction Type:
3. Enter Transfer Details:
4. Verify Transaction Fee:
5. Initiate the Fund Transfer:
6. Confirm Fee Deduction:
7. Verify Recipient's Account:",The system should deduct only the amount specified while initiating transfer and also the application deducts the transaction fee from user's account balance.
Payments and Transfers,Verify bill payment functionality by using netbanking,"1. Navigate to ""Bill Payment"" Section:
2. Select a Bill to Pay:
3. Enter Bill Payment Details:
4. Verify Payment Information:
5. Initiate the Bill Payment:
6. Confirm Successful Payment:
7. Verify Bill Payment:",The biller should receive the correct payment amount and that the bill is marked as paid.
Payments and Transfers,Check for overdraft protection and notifications.,"1. Initiate a transaction that would lead to an overdraft.
2. Verify that the account balance remains positive.
3. Check for notifications or alerts about the overdraft protection.","The application should prevent the overdraft and notify the user about the protection action.
The user should receive a notification or alert regarding the protection action."
Payments and Transfers,"Verify that international transactions are handled appropriately (currency conversion, fees).","1. Initiate an international transaction.
2. Verify that the correct exchange rate is used.
3. Confirm that any applicable fees are deducted.","1.The application should handle currency conversion and apply fees as necessary.
2.The applied exchange rate should be accurate.
3.The transaction receipt should reflect the deducted fees."
Payments and Transfers,Test transactions during scheduled maintenance periods.,"1. Attempt to initiate a transaction during the maintenance window.
2. Wait for the maintenance period to end.
3. Initiate a transaction after maintenance.","1.The application should inform users that transactions cannot be processed during this time.
2.After maintenance, transactions should be allowed.
3.Transactions should proceed as expected."
Payments and Transfers,Verify that transaction references and receipts are generated accurately.,"1. Initiate a transaction.
2. Verify the accuracy of the transaction details in the receipt.
3. Check for the availability of the receipt.","1.The application should generate a unique transaction reference.
2.The receipt should accurately reflect the transaction details.
3.Users should have access to the transaction receipt for reference."
Payments and Transfers, Test for duplicate transaction detection and prevention.,"1. Attempt to initiate the same transaction twice.
2. Verify that no duplicate charges occur.","1.The application should detect the duplicate and prevent the second transaction.
2.The user should not be charged twice for the same transaction."
Payments and Transfers, Verify the handling of transactions involving joint accounts.,"1. Initiate a transaction involving a joint account.
2. Verify that the transaction is processed once all authorizations are received.","1.The application should prompt for necessary authorizations from all account holders.
2.The transaction should be processed only when all account holders authorize it."
Payments and Transfers," Test the process of setting up recurring transactions (e.g., bill payments).","1. Navigate to the ""Recurring Transactions"" or ""Bill Payments"" section.
2. Select the option to ""Set Up New Recurring Transaction.""
3. Specify Transaction Details:
4. Confirm Recurring Transaction:
5. Verify the confirmation message:
6. Access Recurring Transaction List:
7. Check the start date:
8. Verify that transactions occur as scheduled:
9. Confirm receipt of recurring transaction:","1.Access the functionality to set up recurring transactions.
2.Initiate the process of creating a new recurring transaction.
3.Provide necessary information, including the recipient's account or biller details, the transaction amount, frequency (e.g., daily, weekly, monthly), and start date.
4.Review the details and confirm the recurring transaction setup.
5.The application should provide a confirmation message stating that the recurring transaction has been set up.
6.Verify that the newly created recurring transaction is added to the list of recurring transactions or bill payments.
7.Ensure that the recurring transaction begins on the specified start date.
8.Subsequent transactions should take place according to the selected frequency (daily, weekly, monthly).
9.Verify that the recipient or biller receives the recurring payment as expected"
Payments and Transfers, Test the integration with third-party payment gateways.,"1. Initiate a transaction using a third-party payment gateway.
2. Follow the third-party payment gateway process.
3. Enter transaction details:
4. Authorize and confirm the transaction:
5. Verify the transaction status:
6. Review account balances:
7. Confirm receipt of transaction:
8. Check for error handling:","1.The application should allow users to initiate transactions via third-party payment gateways.
2.Users should follow the process provided by the third-party gateway, which may include redirection to the gateway's website or app.
3.Enter the necessary transaction details, including recipient information and payment amount.
4.Confirm and authorize the transaction through the third-party gateway.
5.The application should promptly reflect the transaction status as pending or completed based on information from the third-party gateway.
6.After processing, verify that the account balances are updated accurately.
7.Ensure that the recipient or intended party receives the payment or service as expected.
8.If there are issues with the third-party gateway, the application should provide clear information and support options."
Payments and Transfers,Add New Biller,"1. Log in to the banking website. 
2. Navigate to the ""Bill Payment"" section. 
3. Add a new biller by providing required information.",The new biller is added and available for future payments.
Payments and Transfers,Schedule Recurring Transfer,"1. Log in to the banking website. 
2. Access the ""Fund Transfer"" section. 
3. Set up a recurring transfer with frequency and end date.","The recurring transfer is scheduled, and confirmation is shown."
Payments and Transfers, Test the processing of transactions involving foreign exchange rates.,"1. Initiate a foreign exchange transaction:
2. Select the foreign exchange option:
3. Enter transaction details:
4. Verify the exchange rate:
5. Confirm the transaction:
6. Verify the transaction status:
7. Review account balances:
8. Confirm receipt of the transaction:","1.Initiate a transaction that involves currency conversion, such as sending money to an international recipient.
2.The application should provide an option to perform the foreign exchange, specifying the source and target currencies.
3.Provide the necessary transaction information, including the amount in the source currency.
4.The application should display the current exchange rate for the selected currencies.
5.After verifying the details, confirm and authorize the foreign exchange transaction.
6.The application should promptly reflect the transaction status as pending or completed, including the converted amount.
7.After processing, verify that the account balances are updated accurately, reflecting the converted amount.
8.Ensure that the recipient or intended party receives the payment in the target currency as expected."
Payments and Transfers,Transfer Funds Within the Same Account,"1. Select the same account as the source and destination. 
2. Enter the transfer amount. 
3. Initiate the transfer.","Funds are transferred within the same account, and the balance reflects the change accurately."
Payments and Transfers,Transfer Funds to Another Account Within the Same Bank,"1. Select the source and destination accounts. 
2. Enter the transfer amount. 
3. Initiate the transfer.","Funds are successfully transferred between accounts within the same bank, and balances update accordingly."
Payments and Transfers,Transfer Funds to Another Bank (Domestic),"1. Enter recipient's account details (account number, bank name, routing number, etc.). 
2. Enter the transfer amount. 
3. Initiate the transfer.","Funds are transferred to the recipient's account in another bank, and the user receives confirmation of the successful transfer."
Payments and Transfers,Transfer Funds to an International Bank,"1. Enter recipient's international account details (IBAN, SWIFT/BIC code, bank name, etc.). 
2. Enter the transfer amount and select the currency. 
3. Initiate the international transfer.","Funds are transferred to the recipient's international account, and the user receives confirmation with exchange rate details."
Payments and Transfers,Verify Transfer History,"1. Access the transfer history or transaction history section. 
2. Verify the list of past fund transfers. 
3. Click on a transfer to view details.","The transfer history accurately displays all past fund transfers, and users can view transaction details"
Bill Payments,Pay Bills,"1. Access the ""Bill Payment"" or ""Pay Bills"" section. 
2. Select the biller or service provider. 3. Enter the payment amount. 
4. Confirm the payment.","The bill payment is successfully made, and the user receives a payment confirmation. The payment amount is deducted from the user's account balance."
Bill Payments,Manage Payment Recipients,"1. Go to the ""Manage Payment Recipients"" or ""Recipient List"" section. 2. Select a payment recipient. 
3. Edit recipient details (e.g., account number, nickname). 
4. Save the changes.","The recipient's details are successfully updated, ensuring accurate and up-to-date information for future payments."
Bill Payments,View Payment History,"1. Access the ""Payment History"" or ""Transaction Records"" section. 2. Select the desired time frame or filter options. 3. View the payment history.","The user can view a list of past payments, including details such as date, recipient, and payment amount, within the selected time frame or filter criteria."
Bill Payments,Set Payment Limits,"1. Navigate to the ""Payment Limits"" or ""Transaction Limits"" section. 
2. Set specific limits (e.g., daily, monthly) for fund transfers and bill payments. 
3. Save the limits.","The user's payment limits are successfully set, ensuring control over the maximum amounts for fund transfers and bill payments."
Adding a Beneficiary,Add a New Payee,"1. Navigate to the ""Manage Payees"" or ""Add Beneficiary"" section. 
2. Click on ""Add New Payee"" or ""Add Beneficiary.""
 3. Provide payee details (e.g., name, account number, bank details). 
4. Save the payee information.",The new payee is successfully added to the user's list of beneficiaries and can be selected for fund transfers or payments.
Adding a Beneficiary,Edit Payee Details,"1. Access the ""Manage Payees"" or ""Beneficiary List"" section.
2. Select the payee to edit. 
3. Modify the payee's details (e.g., account number, nickname). 
4. Save the changes.","The payee's details are successfully updated, and the user can make payments or transfers with the revised information."
Adding a Beneficiary,Delete a Beneficiary,"1. Go to the ""Manage Payees"" or ""Beneficiary List"" section. 
2. Choose the payee to delete. 
3. Confirm the deletion.",The selected payee is removed from the user's list of beneficiaries and is no longer available for fund transfers or payments.
Adding a Beneficiary,Set Payment Frequency,"1. Navigate to the ""Manage Payees"" or ""Beneficiary List"" section. 
2. Select the payee. 
3. Define the payment frequency (e.g., one-time, recurring). 
4. Save the payment frequency.","The payment frequency for the payee is successfully set, allowing the user to schedule one-time or recurring payments as needed."
Adding a Beneficiary,Verify Payee Details,"1. Access the ""Manage Payees"" or ""Beneficiary List"" section. 
2. Select the payee to verify. 
3. Review the payee's details for accuracy.",The user can verify the payee's details to ensure that the beneficiary's information is correct and up to date.
Adding a Beneficiary,Enable Two-Factor Authentication,"1. Navigate to the ""Security Settings"" or ""Authentication Options"" section. 
2. Choose to enable two-factor authentication (e.g., OTP, biometrics) for beneficiary-related transactions. 
3. Save the changes.","Two-factor authentication for beneficiary transactions is successfully enabled, enhancing security for fund transfers or payments."
Bill Payments,Paying an Invalid Bill,"1. Navigate to the ""Bill Payments"" section.
2. Attempt to pay a bill that does not exist or is not registered within the system (e.g., using an incorrect account number or bill ID).
3. Proceed with the payment attempt.","The payment process should fail, and the user should receive a notification stating that the bill details provided are incorrect or not recognized."
Bill Payments,Paying a Bill with Insufficient Funds,"1. Navigate to the ""Bill Payments"" section.
2. Attempt to pay a bill when the account balance is insufficient to cover the payment amount.
3. Proceed with the payment attempt.","The payment process should fail, and the user should receive a notification stating that the transaction cannot be completed due to insufficient funds."
Bill Payments,Attempting to Cancel a Payment that's Already Processed,"1. Navigate to the ""Bill Payments"" section.
2. Attempt to cancel a bill payment that has already been successfully processed or cleared.
3. Proceed with the cancellation attempt.","The cancellation process should fail, and the user should receive a notification stating that the payment cannot be canceled as it has already been processed or settled."
Bill Payments,Attempting to Pay a Bill from an Inactive Payment Method,"1. Navigate to the ""Bill Payments"" section.
2. Select a payment method that is inactive or no longer valid (e.g., expired card, closed bank account).
3. Proceed with the bill payment attempt.","2. Select a payment method that is inactive or no longer valid (e.g., expired card, closed bank account)."
Bill Payments,Paying a Duplicate Bill,"1. Navigate to the ""Bill Payments"" section.
2. Attempt to pay a bill that has already been processed or paid previously.
3. Proceed with the payment attempt.","The payment process should fail, and the user should receive a notification stating that the bill payment cannot be completed as it is a duplicate payment for a previously processed bill."
Bill Payments,Paying a Bill During Scheduled Maintenance,"1. Attempt to access the ""Bill Payments"" section during a scheduled maintenance window announced by the banking application.
2. Proceed to make a bill payment during the maintenance period.","1. The system should inform the user about the ongoing maintenance and the unavailability of the bill payments feature during this period.
2.The system should prevent the user from initiating any bill payments and display a message indicating that the feature is temporarily unavailable due to maintenance."
